Shape_Area,ID,GridID,AREA,PERCENTAGE
54825540.204775370657444,5781221.000000000000000,3647,47501.393203481558885,0.086640994372444
54825540.204775370657444,5781221.000000000000000,3648,20817.907396585767856,0.037971185179079
54825540.204775370657444,5781221.000000000000000,3656,1001.015503264133258,0.001825819680983
54825540.204775370657444,5781221.000000000000000,3657,42578.552033650812518,0.077661892385590
54825540.204775370657444,5781221.000000000000000,3679,31775.415018590505497,0.057957322262413
59794469.496661484241486,5781209.000000000000000,3609,95845.258160591532942,0.160291175701363
59794469.496661484241486,5781209.000000000000000,3618,235382.302130712720100,0.393652296127245
59794469.496661484241486,5781209.000000000000000,3627,3394554.388617265969515,5.677037386888757
59794469.496661484241486,5781209.000000000000000,3628,130074.919897499305080,0.217536706977159
64136742.349891394376755,5781915.000000000000000,3711,38933.660910630300350,0.060704144744726
