ID,q_cfs_da,q_cfs_no_da
5781917,16270.080657182143,59398.63427074317
5781919,19239.789299439195,59815.519073702286
5781193,1084.3954963852884,1037.5116982089487
5781183,989.6604397105098,842.8203865485567
5781189,956.2520359282024,860.8799197846512
5781173,445.2247148857754,495.74582791207797
5781133,301.4892207615004,305.71242653307536
5781163,335.49305003140114,426.210908044793
5781131,158.90676393834,160.83663152983834
5781141,151.09431597313218,151.4047508892209
5781157,76.54756889794908,76.56641107531775
5781161,56536.67188694536,56591.23141606315
5779429,23180.55099934432,23180.553492764302
5779425,19764.588373421848,19764.591418458152
5779423,19031.525079921958,19031.527617858024
5779417,19040.425930184796,19040.42733226929
5779401,19129.551864417648,19129.552073174047
5779389,18918.84432579271,18918.844457276777
5779385,18077.518718972584,18077.51880866963
5779381,4613.830372505871,4613.830442314615
5779375,1347.7391175219677,1347.739117526545
5779033,26044.787193874337,26044.787324929606
5779021,26608.21077556322,26608.210811591165
5779003,26113.473911265286,26113.47392517556
5778987,22954.628102249528,22954.62810655988
5778973,20929.965301949116,20929.96530446493
5778961,17790.890100925648,17790.890103376423
5778945,14789.65338050636,14789.653381944456
5778909,2941.9773489796526,2941.9773489796526
5778911,5631.155209369976,5631.155209369976
5779981,612.5362221143728,612.5362221143791
5779983,158.26959185124215,158.26959185124625
5779985,111.73345180607573,111.73345180607629
5781711,261.63912339620873,2078.817924497655
5781333,488.3012156704679,2041.5560360931197
5781337,468.7870834856396,1996.318519525831
5781713,527.2030678089238,1834.9267530436757
5781325,502.41138723496357,1688.9835616308185
5781269,458.0168291198559,1530.7513557977877
5781265,288.2003604539977,1649.7539622602508
5781267,775.2534706650935,1578.130872373139
5781277,1344.3339700246195,1680.6352037864317
5781273,1517.0236959651074,1704.9857609237006
5781297,1581.9253735777504,1717.7647353877085
5781299,1715.4074252943572,1778.3619449609082
5781287,1853.8182049067213,1884.9271727925636
5781293,1809.5635671587947,1836.4833161852598
5781315,817.6135236157108,840.6918558720978
5780359,621.7688348018698,635.489348454493
5781327,616.6614280194462,633.7776394352081
